Date,Open,High,Low,Close,Gain,Volume,Adj Close
2017-04-10,24302.009766,24314.660156,24215.539062,24262.179688,Loss,1158144900,24262.179688
2017-04-07,24247.009766,24268.390625,23982.400391,24267.300781,Gain,2185430800,24267.300781
2017-04-06,24310.410156,24381.630859,24210.689453,24273.720703,Loss,1670513900,24273.720703
2017-04-05,24370.949219,24400.800781,24166.009766,24400.800781,Gain,2616963400,24400.800781
2017-04-03,24236.560547,24261.480469,24162.550781,24261.480469,Gain,1657682500,24261.480469
2017-03-31,24305.529297,24329.980469,24105.380859,24111.589844,Loss,1681170400,24111.589844
2017-03-30,24301.089844,24301.089844,24301.089844,24301.089844,Gain,0,24301.089844
2017-03-29,24470.660156,24470.660156,24330.699219,24392.050781,Loss,1779928000,24392.050781
2017-03-28,24329.169922,24360.0,24274.519531,24345.869141,Gain,1461030300,24345.869141
2017-03-27,24235.689453,24434.900391,24138.779297,24193.699219,Loss,1678426000,24193.699219
2017-03-24,24396.410156,24420.769531,24263.169922,24358.269531,Loss,1730751800,24358.269531
2017-03-23,24381.039062,24466.730469,24271.259766,24327.699219,Loss,1741617200,24327.699219
2017-03-22,24336.330078,24380.419922,24207.099609,24320.410156,Loss,2072484000,24320.410156
2017-03-21,24565.730469,24656.650391,24500.349609,24593.119141,Gain,1993515600,24593.119141
2017-03-20,24312.570312,24501.990234,24312.570312,24501.990234,Gain,1665160800,24501.990234
2017-03-17,24376.130859,24385.810547,24237.970703,24309.929688,Loss,2437270800,24309.929688
2017-03-16,24101.980469,24288.279297,24003.75,24288.279297,Gain,2499417400,24288.279297
2017-03-15,23705.070312,23842.810547,23645.509766,23792.849609,Gain,1311868500,23792.849609
2017-03-14,23871.0,23918.119141,23768.339844,23827.949219,Loss,1801452800,23827.949219
2017-03-13,23643.300781,23877.589844,23567.929688,23829.669922,Gain,1955715600,23829.669922
2017-03-10,23534.980469,23603.769531,23438.859375,23568.669922,Gain,1488063600,23568.669922
2017-03-09,23667.769531,23673.580078,23456.060547,23501.560547,Loss,1727841200,23501.560547
2017-03-08,23627.279297,23816.230469,23563.140625,23782.269531,Gain,1768521600,23782.269531
2017-03-07,23630.349609,23728.0,23585.769531,23681.070312,Gain,1244194300,23681.070312
2017-03-06,23600.490234,23691.050781,23574.279297,23596.279297,Loss,1399449500,23596.279297
2017-03-03,23618.359375,23635.240234,23511.599609,23552.720703,Loss,2316344400,23552.720703
2017-03-02,24044.480469,24080.869141,23694.330078,23728.070312,Loss,2048020400,23728.070312
2017-03-01,23849.220703,23857.279297,23730.050781,23776.490234,Loss,1599366400,23776.490234
2017-02-28,23952.640625,24007.810547,23740.730469,23740.730469,Loss,1616259900,23740.730469
2017-02-27,23941.810547,24067.679688,23822.880859,23925.050781,Loss,1675632500,23925.050781
2017-02-24,24115.609375,24121.910156,23958.130859,23965.699219,Loss,1698195600,23965.699219
2017-02-23,24122.179688,24216.529297,24046.910156,24114.859375,Loss,1824530000,24114.859375
2017-02-22,24059.089844,24201.960938,23999.550781,24201.960938,Gain,2163243600,24201.960938
2017-02-21,24174.109375,24213.640625,23909.150391,23963.630859,Loss,1784690000,23963.630859
2017-02-20,24066.0,24202.339844,24022.150391,24146.080078,Gain,1878846400,24146.080078
2017-02-17,24077.869141,24106.339844,23944.679688,24033.740234,Loss,2233610400,24033.740234
2017-02-16,24139.310547,24161.390625,23969.570312,24107.699219,Loss,3692466400,24107.699219
2017-02-15,23771.949219,24067.619141,23771.949219,23994.869141,Gain,3728584800,23994.869141
2017-02-14,23695.289062,23735.109375,23614.470703,23703.009766,Gain,1898400000,23703.009766
2017-02-13,23664.529297,23751.919922,23615.390625,23710.980469,Gain,1930566400,23710.980469
