Date,Open,High,Low,Close,Gain,Volume,Adj Close
2017-04-10,64593.0,64928.0,64115.0,64650.0,Gain,2984000,64650.0
2017-04-07,64202.0,65197.0,64016.0,64593.0,Gain,2853100,64593.0
2017-04-06,64775.0,64921.0,63762.0,64223.0,Loss,2875000,64223.0
2017-04-05,65770.0,66211.0,64493.0,64775.0,Loss,2982200,64775.0
2017-04-04,65212.0,65775.0,64990.0,65769.0,Gain,2085300,65769.0
2017-04-03,64989.0,65384.0,64774.0,65211.0,Gain,2858500,65211.0
2017-03-31,65266.0,65597.0,64859.0,64984.0,Loss,2614200,64984.0
2017-03-30,65541.0,65775.0,65070.0,65266.0,Loss,2335700,65266.0
2017-03-29,64636.0,65551.0,64476.0,65528.0,Gain,3488200,65528.0
2017-03-28,64308.0,64847.0,64042.0,64640.0,Gain,3359100,64640.0
2017-03-27,63829.0,64356.0,63030.0,64308.0,Gain,2672800,64308.0
2017-03-24,63554.0,63997.0,63469.0,63854.0,Gain,2571200,63854.0
2017-03-23,63521.0,63942.0,62840.0,63531.0,Gain,3447400,63531.0
2017-03-22,62980.0,63747.0,62496.0,63521.0,Gain,4063300,63521.0
2017-03-21,64884.0,64965.0,62795.0,62980.0,Loss,3700200,62980.0
2017-03-20,64210.0,65136.0,63672.0,64884.0,Gain,3613900,64884.0
2017-03-17,65783.0,66205.0,64152.0,64210.0,Loss,5213000,64210.0
2017-03-16,66232.0,66554.0,65531.0,65783.0,Loss,2860400,65783.0
2017-03-15,64702.0,66318.0,64537.0,66235.0,Gain,3742100,66235.0
2017-03-14,65511.0,65549.0,64699.0,64699.0,Loss,2824800,64699.0
2017-03-13,64674.0,65651.0,64674.0,65534.0,Gain,2162800,65534.0
2017-03-10,64586.0,65725.0,64472.0,64675.0,Gain,3432900,64675.0
2017-03-09,64718.0,65068.0,64203.0,64585.0,Loss,3513300,64585.0
2017-03-08,65748.0,65810.0,64496.0,64718.0,Loss,3727200,64718.0
2017-03-07,66343.0,66641.0,65668.0,65742.0,Loss,2886200,65742.0
2017-03-06,66786.0,66892.0,66119.0,66341.0,Loss,3337500,66341.0
2017-03-03,65860.0,66801.0,65860.0,66786.0,Gain,2654400,66786.0
2017-03-02,67000.0,67035.0,65594.0,65855.0,Loss,3095300,65855.0
2017-03-01,66661.0,67398.0,66661.0,66989.0,Gain,2378500,66989.0
2017-02-24,67458.0,67458.0,66452.0,66662.0,Loss,3059900,66662.0
2017-02-23,68590.0,69488.0,67279.0,67461.0,Loss,3977800,67461.0
2017-02-22,69052.0,69052.0,68282.0,68590.0,Loss,3374600,68590.0
2017-02-21,68536.0,69112.0,68536.0,69052.0,Gain,3051100,69052.0
2017-02-20,67756.0,68674.0,67756.0,68533.0,Gain,2171300,68533.0
2017-02-17,67814.0,67819.0,67158.0,67748.0,Loss,2787300,67748.0
2017-02-16,67979.0,68456.0,67661.0,67814.0,Loss,3550800,67814.0
2017-02-15,66712.0,68016.0,66712.0,67976.0,Gain,4119600,67976.0
2017-02-14,66971.0,67110.0,66251.0,66713.0,Loss,3370900,66713.0
2017-02-13,66125.0,67094.0,66125.0,66968.0,Gain,3108800,66968.0
2017-02-10,64965.0,66292.0,64935.0,66125.0,Gain,3439000,66125.0
2017-02-09,64850.0,65302.0,64587.0,64965.0,Gain,2641700,64965.0
2017-02-08,64200.0,64835.0,63740.0,64835.0,Gain,3138600,64835.0
2017-02-07,64022.0,64815.0,63938.0,64199.0,Gain,2776200,64199.0
2017-02-06,64957.0,65327.0,63933.0,63993.0,Loss,2551400,63993.0
2017-02-03,64579.0,65387.0,64264.0,64954.0,Gain,3482700,64954.0
2017-02-02,64835.0,65132.0,64163.0,64578.0,Loss,2959200,64578.0
2017-02-01,64687.0,65594.0,64687.0,64836.0,Gain,3214300,64836.0
2017-01-31,64310.0,64901.0,64284.0,64671.0,Gain,2737700,64671.0
2017-01-30,66025.0,66025.0,64165.0,64302.0,Loss,2264300,64302.0
2017-01-27,66195.0,66242.0,65876.0,66034.0,Loss,2583400,66034.0
2017-01-26,65842.0,66594.0,65842.0,66191.0,Gain,3494100,66191.0
2017-01-24,65752.0,66173.0,65615.0,65840.0,Gain,3850500,65840.0
2017-01-23,64519.0,65816.0,64500.0,65749.0,Gain,2957000,65749.0
2017-01-20,63951.0,64694.0,63951.0,64521.0,Gain,0,64521.0
2017-01-19,64145.0,64456.0,63574.0,63951.0,Loss,2867100,63951.0
2017-01-18,64360.0,64680.0,64063.0,64150.0,Loss,3008900,64150.0
2017-01-17,63827.0,64658.0,63456.0,64354.0,Gain,0,64354.0
2017-01-16,63652.0,64014.0,63556.0,63831.0,Gain,0,63831.0
2017-01-13,63940.0,64092.0,63366.0,63652.0,Loss,2735500,63652.0
2017-01-12,62448.0,64342.0,62448.0,63954.0,Gain,4535000,63954.0
2017-01-11,62134.0,62674.0,61665.0,62446.0,Gain,3139800,62446.0
2017-01-10,61710.0,62446.0,61710.0,62132.0,Gain,2623400,62132.0
2017-01-09,61680.0,62112.0,61307.0,61700.0,Gain,2480800,61700.0
2017-01-06,62072.0,62072.0,61396.0,61665.0,Loss,2374800,61665.0
2017-01-05,61594.0,62409.0,61594.0,62071.0,Gain,3313000,62071.0
2017-01-04,61811.0,61940.0,61302.0,61589.0,Loss,2840800,61589.0
