username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
nytimes,2016-08-03T11:20:00Z,133,103,Millions' worth of Bitcoin were stolen in the hacking of an exchange based in Hong Kong http:// nyti.ms/2aSmgrD pic.twitter.com/ZxPkqdXEv6,N/A,N/A,N/A,760767186424258560,https://twitter.com/nytimes/status/760767186424258560
nytimes,2016-07-04T09:09:00Z,119,158,How a handful of Chinese companies took control of Bitcoin http:// nyti.ms/29ERIYF pic.twitter.com/3UkXITIP8X,N/A,N/A,N/A,749862673794359297,https://twitter.com/nytimes/status/749862673794359297
nytimes,2016-06-30T22:00:00Z,98,109,How a handful of Chinese companies took control of Bitcoin http:// nyti.ms/29uaxxT pic.twitter.com/KfDhzSRwyU,N/A,N/A,N/A,748607101992316928,https://twitter.com/nytimes/status/748607101992316928
nytimes,2016-05-02T18:55:00Z,123,146,"He says he invented Bitcoin , but not everyone is convinced http:// nyti.ms/1rNDTPV pic.twitter.com/cnKExZycXu",N/A,N/A,N/A,727179618361466881,https://twitter.com/nytimes/status/727179618361466881
nytimes,2016-05-02T11:18:00Z,100,132,An Australian entrepreneur named Craig Steven Wright says he is the creator of Bitcoin http:// nyti.ms/1Tpodby,N/A,N/A,N/A,727064612596764673,https://twitter.com/nytimes/status/727064612596764673
nytimes,2016-05-02T11:15:00Z,74,95,Australian Entrepreneur Says He Created Bitcoin http:// nyti.ms/26JTuj6,N/A,N/A,N/A,727064016267436032,https://twitter.com/nytimes/status/727064016267436032
nytimes,2016-04-06T11:16:00Z,115,103,"Britain's top financial regulator has granted an electronic money license to Circle, a company that uses Bitcoin http:// nyti.ms/22bDy4n",N/A,N/A,N/A,717642021700300801,https://twitter.com/nytimes/status/717642021700300801
nytimes,2016-03-29T08:50:00Z,150,136,"Bitcoin has struggled, but a rival virtual currency called Ethereum has climbed 1,000% over the past 3 three months http:// nyti.ms/1ShAGxs",N/A,N/A,N/A,714706389478801409,https://twitter.com/nytimes/status/714706389478801409
nytimes,2016-03-28T16:14:00Z,468,596,"Bitcoin has struggled, but a rival virtual currency called Ethereum has climbed 1,000% over the past 3 three months http:// nyti.ms/21OYkGD",N/A,N/A,N/A,714455531121934336,https://twitter.com/nytimes/status/714455531121934336
nytimes,2015-12-09T12:47:00Z,146,145,The police in Australia raided the home of a man said to be the likely creator of Bitcoin http:// nyti.ms/1OQbFvR pic.twitter.com/RFvEs1aBur,N/A,N/A,N/A,674555869581991936,https://twitter.com/nytimes/status/674555869581991936
nytimes,2015-12-09T09:31:00Z,93,98,Australian Police Raid Home of Man Said to Be Likely Creator of Bitcoin http:// nyti.ms/1Qv2zof,N/A,N/A,N/A,674506744006057984,https://twitter.com/nytimes/status/674506744006057984
nytimes,2015-11-05T22:30:00Z,115,118,The price of Bitcoin is surging again http:// nyti.ms/1MKUQTK pic.twitter.com/kQm3Hwr2rs,N/A,N/A,N/A,662381419465977856,https://twitter.com/nytimes/status/662381419465977856
nytimes,2015-11-05T04:55:00Z,121,140,Bitcoin is surging again after a long period of quiet http:// nyti.ms/1kc5PJw,N/A,N/A,N/A,662115889505026051,https://twitter.com/nytimes/status/662115889505026051
nytimes,2015-08-29T03:46:00Z,140,141,Bitcoin technology piques intense interest on Wall Street http:// nyti.ms/1fLgtDW,N/A,N/A,N/A,637441056695566336,https://twitter.com/nytimes/status/637441056695566336
nytimes,2015-08-01T08:16:00Z,149,102,"Mark Karpeles, Chief of Bankrupt Bitcoin Exchange, Is Arrested in Tokyo http:// nyti.ms/1DgeG5d",N/A,N/A,N/A,627362268100042752,https://twitter.com/nytimes/status/627362268100042752
nytimes,2015-05-17T09:15:00Z,119,131,Those most deeply involved in Bitcoin yielded a consensus about the identity of its creator http:// nyti.ms/1RUSlhs pic.twitter.com/HTBozfYeMb,N/A,N/A,N/A,599835508190109697,https://twitter.com/nytimes/status/599835508190109697
nytimes,2015-05-16T20:40:00Z,85,131,Those most deeply involved in Bitcoin yielded a consensus about the identity of its creator http:// nyti.ms/1JPoqSc pic.twitter.com/hE2SonZ4HP,N/A,N/A,N/A,599645518558552064,https://twitter.com/nytimes/status/599645518558552064
nytimes,2015-05-16T11:41:00Z,124,123,Those most deeply involved in Bitcoin yielded a consensus about the identity of its creator http:// nyti.ms/1Fjv4Ai pic.twitter.com/cgGDRbKUe0,N/A,N/A,N/A,599509858690408448,https://twitter.com/nytimes/status/599509858690408448
nytimes,2015-05-16T02:31:00Z,99,124,Those most deeply involved in Bitcoin yielded a consensus about the identity of its creator http:// nyti.ms/1HlTJXe pic.twitter.com/QTDiLDZlUY,N/A,N/A,N/A,599371468674363393,https://twitter.com/nytimes/status/599371468674363393
nytimes,2015-05-04T01:05:00Z,243,253,How Bitcoin is disrupting Argentinaâ€™s economy http:// nyti.ms/1PfRWBS pic.twitter.com/cIGN9cBvWW,N/A,N/A,N/A,595001166787944448,https://twitter.com/nytimes/status/595001166787944448
nytimes,2015-05-03T13:14:00Z,266,283,How Bitcoin is disrupting Argentinaâ€™s economy http:// nyti.ms/1GMLDUC pic.twitter.com/NfDVTZvGPs,N/A,N/A,N/A,594822237204697088,https://twitter.com/nytimes/status/594822237204697088
nytimes,2015-05-02T16:26:00Z,57,59,The Money Issue: Can Bitcoin Conquer Argentina? http:// nyti.ms/1bNM8CQ,N/A,N/A,N/A,594508327075323904,https://twitter.com/nytimes/status/594508327075323904
nytimes,2015-04-30T09:30:00Z,175,158,How Bitcoin is disrupting Argentinaâ€™s economy http:// nyti.ms/1DXF6Sw pic.twitter.com/IusdCwIPVj,N/A,N/A,N/A,593678710382927873,https://twitter.com/nytimes/status/593678710382927873
nytimes,2015-04-30T03:13:00Z,319,236,How Bitcoin is disrupting Argentinaâ€™s economy http:// nyti.ms/1DB0MUa pic.twitter.com/4dHcI0sfg6,N/A,N/A,N/A,593583832869249024,https://twitter.com/nytimes/status/593583832869249024
nytimes,2015-01-23T05:22:00Z,60,50,DealBook: Winklevoss Twins Aim to Take Bitcoin Mainstream With a Regulated Exchange http:// nyti.ms/1zBmT0N,N/A,N/A,N/A,558479824294277120,https://twitter.com/nytimes/status/558479824294277120
nytimes,2015-01-06T22:37:00Z,42,34,DealBook: Jitters After Bitcoin Exchange Suspends Services http:// nyti.ms/14jrmY8,N/A,N/A,N/A,552579680889733120,https://twitter.com/nytimes/status/552579680889733120
